participant,itemA,itemB,recognizedA,recognizedB,aLarger,choiceA
112,55,132,0,0,1,1
112,127,130,0,0,1,1
112,72,27,0,0,0,1
112,126,117,0,0,0,0
112,76,77,0,0,1,1
112,112,101,0,0,0,1
112,128,21,0,0,0,0
112,56,61,0,0,1,0
112,150,1,0,1,0,0
112,14,89,0,0,1,1
112,11,43,0,0,1,0
112,39,81,0,0,1,0
112,102,94,0,0,0,0
112,36,145,1,0,1,1
112,125,123,0,0,0,1
112,88,57,0,0,0,1
112,105,13,0,0,0,0
112,28,80,0,0,1,1
112,15,18,0,0,1,0
112,16,65,0,0,1,1
112,79,2,0,1,0,0
112,86,93,0,0,1,1
112,121,134,0,0,1,1
112,116,70,0,0,0,1
112,53,122,0,0,1,0
112,133,10,0,0,0,0
112,6,124,0,0,1,0
112,35,67,0,0,1,1
113,22,114,1,0,1,1
113,44,63,1,0,1,1
113,98,24,0,1,0,0
113,100,118,0,0,1,0
113,38,42,0,0,1,0
113,4,32,1,0,1,0
113,54,40,0,1,0,0
113,149,12,0,0,0,0
113,83,19,0,1,0,0
113,119,148,0,0,1,0
113,82,49,0,0,0,0
113,146,131,0,0,0,1
113,99,111,0,0,1,1
113,104,3,0,1,0,0
113,90,91,0,1,1,0
113,5,75,1,0,1,1
113,59,140,0,0,1,0
113,51,78,0,0,1,1
113,135,115,0,0,0,0
113,45,71,0,0,1,1
113,69,23,0,0,0,1
113,50,34,1,0,0,1
113,66,85,0,0,1,0
113,92,46,0,0,0,1
113,113,31,0,0,0,1
113,141,30,0,0,0,1
113,136,68,0,0,0,1
113,103,108,0,0,1,1
113,106,47,0,1,0,1
113,109,144,0,0,1,0
113,52,48,0,0,0,0
113,147,60,0,0,0,0
113,143,20,0,0,0,1
113,87,129,1,0,1,0
113,95,7,0,1,0,0
113,58,107,0,0,1,1
113,137,8,0,1,0,0
113,97,96,0,0,0,1
113,62,110,0,0,1,1
113,139,33,0,0,0,1
113,120,9,0,1,0,0
113,17,142,1,0,1,1
113,25,84,0,0,1,0
113,26,74,1,0,1,0
113,73,41,0,0,0,0
113,138,37,0,0,0,0
113,29,64,0,0,1,0
113,55,132,0,0,1,0
113,127,130,0,0,1,0
113,72,27,1,0,0,1
113,126,117,0,0,0,0
113,76,77,0,0,1,1
113,112,101,0,0,0,1
113,128,21,0,0,0,0
113,56,61,0,0,1,0
113,150,1,0,1,0,0
113,14,89,1,0,1,0
113,11,43,0,0,1,0
113,39,81,0,0,1,1
113,102,94,0,0,0,0
113,36,145,1,0,1,1
113,125,123,0,0,0,0
113,88,57,0,0,0,1
113,105,13,0,0,0,0
113,28,80,0,0,1,1
113,15,18,1,0,1,1
113,16,65,1,0,1,1
113,79,2,0,1,0,0
113,86,93,0,0,1,1
113,121,134,0,0,1,0
113,116,70,0,0,0,1
113,53,122,0,0,1,1
113,133,10,0,1,0,0
113,6,124,1,0,1,1
113,35,67,0,0,1,1
114,22,114,1,0,1,1
114,44,63,1,0,1,1
114,98,24,0,1,0,0
114,100,118,0,0,1,1
114,38,42,0,1,1,0
114,4,32,1,0,1,1
114,54,40,0,1,0,0
114,149,12,0,1,0,0
114,83,19,0,0,0,1
114,119,148,0,0,1,1
114,82,49,0,1,0,0
114,146,131,0,0,0,1
114,99,111,0,0,1,1
114,104,3,0,1,0,0
114,90,91,0,1,1,0
114,5,75,1,1,1,1
114,59,140,1,1,1,1
114,51,78,1,0,1,0
114,135,115,0,0,0,0
114,45,71,0,1,1,0
114,69,23,1,0,0,1
114,50,34,1,1,0,1
114,66,85,1,1,1,0
114,92,46,1,1,0,1
114,113,31,0,1,0,0
114,141,30,0,0,0,1
114,136,68,0,0,0,0
114,103,108,1,0,1,1
114,106,47,1,1,0,0
114,109,144,0,0,1,0
114,52,48,0,0,0,0
114,147,60,0,1,0,0
114,143,20,0,0,0,1
114,87,129,1,0,1,1
114,95,7,1,1,0,0
114,58,107,0,0,1,1
