environment,item,criterion,cue,cueValue
Bridges,Hangzhou Bay Bridge,117037.0,Cable-Stayed,0
Bridges,Hangzhou Bay Bridge,117037.0,Suspension,1
Bridges,Hangzhou Bay Bridge,117037.0,Steel,1
Bridges,Hangzhou Bay Bridge,117037.0,Concrete,0
Bridges,Hangzhou Bay Bridge,117037.0,Rail,0
Bridges,Hangzhou Bay Bridge,117037.0,Car,0
Bridges,Runyang Bridge,116990.0,Toll,0
Bridges,Runyang Bridge,116990.0,Capital,0
Bridges,Runyang Bridge,116990.0,Guinness,0
Bridges,Runyang Bridge,116990.0,Long,0
Bridges,Runyang Bridge,116990.0,Viaduct,0
Bridges,Runyang Bridge,116990.0,Box-Girder,1
Bridges,Runyang Bridge,116990.0,Cable-Stayed,0
Bridges,Runyang Bridge,116990.0,Suspension,0
Bridges,Runyang Bridge,116990.0,Steel,1
Bridges,Runyang Bridge,116990.0,Concrete,0
Bridges,Runyang Bridge,116990.0,Rail,0
Bridges,Runyang Bridge,116990.0,Car,0
Bridges,Donghai Bridge,106600.0,Toll,0
Bridges,Donghai Bridge,106600.0,Capital,0
Bridges,Donghai Bridge,106600.0,Guinness,0
Bridges,Donghai Bridge,106600.0,Long,0
Bridges,Donghai Bridge,106600.0,Viaduct,1
Bridges,Donghai Bridge,106600.0,Box-Girder,1
Bridges,Donghai Bridge,106600.0,Cable-Stayed,0
Bridges,Donghai Bridge,106600.0,Suspension,1
Bridges,Donghai Bridge,106600.0,Steel,1
Bridges,Donghai Bridge,106600.0,Concrete,1
Bridges,Donghai Bridge,106600.0,Rail,0
Bridges,Donghai Bridge,106600.0,Car,0
Bridges,Atchafalaya Basin Bridge,96100.0,Toll,0
Bridges,Atchafalaya Basin Bridge,96100.0,Capital,0
Bridges,Atchafalaya Basin Bridge,96100.0,Guinness,0
Bridges,Atchafalaya Basin Bridge,96100.0,Long,0
Bridges,Atchafalaya Basin Bridge,96100.0,Viaduct,0
Bridges,Atchafalaya Basin Bridge,96100.0,Box-Girder,1
