participant,quarter,condition,question,questionLabel,truth,estimate,session
84,W2023,single,42,have flown on a plane,88,75.0,1
84,W2023,single,43,own a car,88,70.0,1
84,W2023,single,44,have at least a high school degree,89,60.0,1
267,W2023,single,1,have a household income over $1 million,0,7.0,1
267,W2023,single,2,are transgender,1,16.0,1
267,W2023,single,3,have a household income over $500K,1,21.0,1
267,W2023,single,4,are Muslim,1,18.0,1
267,W2023,single,5,are Native American,1,20.0,1
267,W2023,single,6,are Jewish,2,18.0,1
267,W2023,single,7,live in New York City,3,5.0,1
267,W2023,single,8,are gay or lesbian,3,35.0,1
267,W2023,single,9,are atheists,3,31.0,1
267,W2023,single,10,are bisexual,4,15.0,1
267,W2023,single,11,are members of a union,4,66.0,1
267,W2023,single,12,are vegan or vegetarian,5,10.0,1
267,W2023,single,13,are Asian,6,29.0,1
267,W2023,single,14,are a military veteran,6,25.0,1
267,W2023,single,15,live in Texas,9,11.0,1
267,W2023,single,16,are left handed,11,27.0,1
267,W2023,single,17,live in California,12,13.0,1
267,W2023,single,18,are Black,12,30.0,1
267,W2023,single,19,have an advanced degree,12,35.0,1
267,W2023,single,20,are first generation immigrants,14,31.0,1
267,W2023,single,21,are Hispanic,17,35.0,1
267,W2023,single,22,are Catholic,22,37.0,1
267,W2023,single,23,own a gun,32,55.0,1
267,W2023,single,24,have at least a college degree,33,61.0,1
267,W2023,single,25,have a household income over $100K,34,57.0,1
267,W2023,single,26,have a passport,37,71.0,1
267,W2023,single,27,are Democrats,42,41.0,1
267,W2023,single,28,are obese,42,22.0,1
267,W2023,single,29,are Republicans,47,45.0,1
267,W2023,single,30,are married,51,65.0,1
267,W2023,single,31,have at least one child,57,54.0,1
267,W2023,single,32,voted in the 2020 election,62,79.0,1
267,W2023,single,33,have a household income over $50K,62,75.0,1
267,W2023,single,34,are White,64,38.0,1
267,W2023,single,35,own a house,65,34.0,1
267,W2023,single,36,have a pet,67,76.0,1
267,W2023,single,37,are Christian,70,36.0,1
267,W2023,single,38,have read a book in the past year,77,63.0,1
267,W2023,single,39,have a household income over $25K,82,90.0,1
267,W2023,single,40,have a driver's license,83,71.0,1
267,W2023,single,41,own a smartphone,85,84.0,1
267,W2023,single,42,have flown on a plane,88,59.0,1
267,W2023,single,43,own a car,88,66.0,1
267,W2023,single,44,have at least a high school degree,89,65.0,1
30,W2023,single,1,have a household income over $1 million,0,5.0,1
30,W2023,single,2,are transgender,1,2.0,1
30,W2023,single,3,have a household income over $500K,1,6.0,1
30,W2023,single,4,are Muslim,1,35.0,1
30,W2023,single,5,are Native American,1,15.0,1
30,W2023,single,6,are Jewish,2,17.0,1
30,W2023,single,7,live in New York City,3,15.0,1
30,W2023,single,8,are gay or lesbian,3,30.0,1
30,W2023,single,9,are atheists,3,20.0,1
30,W2023,single,10,are bisexual,4,30.0,1
30,W2023,single,11,are members of a union,4,15.0,1
30,W2023,single,12,are vegan or vegetarian,5,8.0,1
30,W2023,single,13,are Asian,6,12.0,1
30,W2023,single,14,are a military veteran,6,7.0,1
30,W2023,single,15,live in Texas,9,15.0,1
30,W2023,single,16,are left handed,11,20.0,1
30,W2023,single,17,live in California,12,15.0,1
30,W2023,single,18,are Black,12,30.0,1
30,W2023,single,19,have an advanced degree,12,17.0,1
30,W2023,single,20,are first generation immigrants,14,36.0,1
30,W2023,single,21,are Hispanic,17,25.0,1
30,W2023,single,22,are Catholic,22,27.0,1
30,W2023,single,23,own a gun,32,35.0,1
30,W2023,single,24,have at least a college degree,33,57.0,1
30,W2023,single,25,have a household income over $100K,34,15.0,1
30,W2023,single,26,have a passport,37,65.0,1
30,W2023,single,27,are Democrats,42,55.0,1
30,W2023,single,28,are obese,42,35.0,1
30,W2023,single,29,are Republicans,47,35.0,1
30,W2023,single,30,are married,51,45.0,1
30,W2023,single,31,have at least one child,57,30.0,1
30,W2023,single,32,voted in the 2020 election,62,40.0,1
30,W2023,single,33,have a household income over $50K,62,45.0,1
30,W2023,single,34,are White,64,60.0,1
30,W2023,single,35,own a house,65,40.0,1
30,W2023,single,36,have a pet,67,20.0,1
30,W2023,single,37,are Christian,70,40.0,1
30,W2023,single,38,have read a book in the past year,77,70.0,1
30,W2023,single,39,have a household income over $25K,82,70.0,1
30,W2023,single,40,have a driver's license,83,60.0,1
30,W2023,single,41,own a smartphone,85,80.0,1
30,W2023,single,42,have flown on a plane,88,50.0,1
30,W2023,single,43,own a car,88,65.0,1
30,W2023,single,44,have at least a high school degree,89,70.0,1
392,W2023,single,1,have a household income over $1 million,0,1.0,1
392,W2023,single,2,are transgender,1,9.0,1
392,W2023,single,3,have a household income over $500K,1,7.0,1
392,W2023,single,4,are Muslim,1,23.0,1
392,W2023,single,5,are Native American,1,15.0,1
392,W2023,single,6,are Jewish,2,31.0,1
392,W2023,single,7,live in New York City,3,28.0,1
392,W2023,single,8,are gay or lesbian,3,18.0,1
392,W2023,single,9,are atheists,3,32.0,1
392,W2023,single,10,are bisexual,4,7.0,1
392,W2023,single,11,are members of a union,4,66.0,1
392,W2023,single,12,are vegan or vegetarian,5,18.0,1
392,W2023,single,13,are Asian,6,28.0,1
392,W2023,single,14,are a military veteran,6,71.0,1
392,W2023,single,15,live in Texas,9,13.0,1
392,W2023,single,16,are left handed,11,5.0,1
392,W2023,single,17,live in California,12,23.0,1
392,W2023,single,18,are Black,12,40.0,1
392,W2023,single,19,have an advanced degree,12,63.0,1
392,W2023,single,20,are first generation immigrants,14,36.0,1
392,W2023,single,21,are Hispanic,17,36.0,1
392,W2023,single,22,are Catholic,22,32.0,1
392,W2023,single,23,own a gun,32,86.0,1
392,W2023,single,24,have at least a college degree,33,70.0,1
392,W2023,single,25,have a household income over $100K,34,23.0,1
392,W2023,single,26,have a passport,37,75.0,1
392,W2023,single,27,are Democrats,42,45.0,1
392,W2023,single,28,are obese,42,77.0,1
392,W2023,single,29,are Republicans,47,67.0,1
392,W2023,single,30,are married,51,47.0,1
392,W2023,single,31,have at least one child,57,55.0,1
392,W2023,single,32,voted in the 2020 election,62,88.0,1
392,W2023,single,33,have a household income over $50K,62,6.0,1
392,W2023,single,34,are White,64,79.0,1
392,W2023,single,35,own a house,65,32.0,1
392,W2023,single,36,have a pet,67,91.0,1
392,W2023,single,37,are Christian,70,52.0,1
392,W2023,single,38,have read a book in the past year,77,72.0,1
392,W2023,single,39,have a household income over $25K,82,11.0,1
392,W2023,single,40,have a driver's license,83,87.0,1
392,W2023,single,41,own a smartphone,85,83.0,1
392,W2023,single,42,have flown on a plane,88,26.0,1
392,W2023,single,43,own a car,88,64.0,1
392,W2023,single,44,have at least a high school degree,89,79.0,1
553,W2023,single,1,have a household income over $1 million,0,3.0,1
553,W2023,single,2,are transgender,1,13.0,1
553,W2023,single,3,have a household income over $500K,1,40.0,1
553,W2023,single,4,are Muslim,1,19.0,1
553,W2023,single,5,are Native American,1,10.0,1
553,W2023,single,6,are Jewish,2,34.0,1
553,W2023,single,7,live in New York City,3,35.0,1
553,W2023,single,8,are gay or lesbian,3,25.0,1
553,W2023,single,9,are atheists,3,14.0,1
553,W2023,single,10,are bisexual,4,16.0,1
553,W2023,single,11,are members of a union,4,45.0,1
553,W2023,single,12,are vegan or vegetarian,5,30.0,1
553,W2023,single,13,are Asian,6,35.0,1
553,W2023,single,14,are a military veteran,6,50.0,1
553,W2023,single,15,live in Texas,9,30.0,1
553,W2023,single,16,are left handed,11,27.0,1
553,W2023,single,17,live in California,12,22.0,1
553,W2023,single,18,are Black,12,40.0,1
553,W2023,single,19,have an advanced degree,12,60.0,1
553,W2023,single,20,are first generation immigrants,14,30.0,1
553,W2023,single,21,are Hispanic,17,45.0,1
553,W2023,single,22,are Catholic,22,85.0,1
553,W2023,single,23,own a gun,32,50.0,1
553,W2023,single,24,have at least a college degree,33,75.0,1
553,W2023,single,25,have a household income over $100K,34,48.0,1
553,W2023,single,26,have a passport,37,87.0,1
553,W2023,single,27,are Democrats,42,50.0,1
553,W2023,single,28,are obese,42,68.0,1
553,W2023,single,29,are Republicans,47,45.0,1
553,W2023,single,30,are married,51,89.0,1
553,W2023,single,31,have at least one child,57,85.0,1
553,W2023,single,32,voted in the 2020 election,62,85.0,1
553,W2023,single,33,have a household income over $50K,62,70.0,1
553,W2023,single,34,are White,64,77.0,1
553,W2023,single,35,own a house,65,79.0,1
553,W2023,single,36,have a pet,67,95.0,1
553,W2023,single,37,are Christian,70,60.0,1
553,W2023,single,38,have read a book in the past year,77,97.0,1
553,W2023,single,39,have a household income over $25K,82,86.0,1
553,W2023,single,40,have a driver's license,83,90.0,1
553,W2023,single,41,own a smartphone,85,95.0,1
553,W2023,single,42,have flown on a plane,88,95.0,1
553,W2023,single,43,own a car,88,83.0,1
553,W2023,single,44,have at least a high school degree,89,86.0,1
66,W2023,single,1,have a household income over $1 million,0,5.0,1
66,W2023,single,2,are transgender,1,15.0,1
66,W2023,single,3,have a household income over $500K,1,6.0,1
66,W2023,single,4,are Muslim,1,15.0,1
66,W2023,single,5,are Native American,1,9.0,1
66,W2023,single,6,are Jewish,2,20.0,1
66,W2023,single,7,live in New York City,3,18.0,1
66,W2023,single,8,are gay or lesbian,3,30.0,1
66,W2023,single,9,are atheists,3,15.0,1
66,W2023,single,10,are bisexual,4,10.0,1
66,W2023,single,11,are members of a union,4,74.0,1
66,W2023,single,12,are vegan or vegetarian,5,10.0,1
