1,6,3,4,5,2,7,8,9,10,38,22,13,20,27,16,18,17,11,12,14,28,23,24,25,21,15,19,29,33,31,36,30,32,34,39,26,35,40,37,41,42,43,44
1,6,4,7,3,17,2,13,9,8,29,23,10,11,21,16,14,25,22,5,20,12,24,15,19,18,26,30,35,31,27,38,28,32,36,33,34,37,39,40,41,42,43,44
1,2,7,6,17,26,3,20,25,32,8,15,4,12,28,16,21,30,10,27,18,19,14,22,31,24,29,13,11,34,36,33,5,23,9,37,35,40,39,38,41,42,43,44
1,2,4,7,6,5,19,3,18,36,23,17,38,8,9,16,10,13,20,33,27,11,25,12,21,15,14,29,34,30,32,39,28,26,31,22,24,37,40,35,41,42,43,44
1,4,2,3,5,6,7,13,14,12,21,16,17,18,27,15,29,10,23,22,19,24,9,8,30,11,25,20,26,28,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,6,5,7,8,22,20,13,23,21,15,16,17,18,25,9,19,10,24,12,14,11,26,27,28,30,29,31,32,34,35,33,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,11,14,9,7,13,23,8,20,19,16,17,18,25,12,15,10,22,21,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,6,4,7,5,17,23,8,10,13,14,29,18,16,22,15,24,26,27,20,19,21,9,12,31,25,11,38,30,28,32,33,34,35,36,37,39,40,41,42,43,44
1,3,2,4,6,15,7,5,17,8,10,11,19,21,23,16,12,20,14,13,9,25,26,27,22,18,24,31,32,30,36,28,29,34,33,35,38,37,39,40,41,42,43,44
1,3,2,6,4,7,12,21,16,9,29,25,14,23,15,31,8,10,13,11,22,20,24,30,38,5,18,17,33,27,19,26,34,32,28,40,37,39,35,36,41,42,43,44
1,16,2,5,23,32,6,15,3,26,10,20,22,36,4,24,14,19,17,39,38,12,28,18,11,7,30,13,35,29,25,8,33,21,34,31,9,27,37,40,41,42,43,44
1,2,3,6,16,18,21,12,10,7,11,19,30,14,29,13,22,5,15,8,24,25,9,20,23,38,4,27,32,34,26,17,28,39,31,36,33,37,35,40,41,42,43,44
1,2,18,3,6,11,8,21,13,30,19,5,25,14,16,7,4,17,38,12,28,34,31,22,23,24,33,10,27,9,15,40,37,20,29,32,39,26,35,36,41,42,43,44
1,2,3,4,6,38,5,36,33,31,28,39,18,17,7,16,30,15,23,14,9,19,27,21,29,11,35,12,25,10,22,20,24,32,8,34,26,13,40,37,41,42,43,44
1,2,3,4,5,6,15,16,10,23,18,17,9,12,11,8,21,7,20,30,25,19,13,29,14,22,36,24,27,31,28,34,26,33,38,39,32,35,37,40,41,42,43,44
1,2,3,15,5,17,4,23,12,25,10,20,9,11,13,16,7,21,14,27,6,22,18,26,8,24,30,19,29,32,33,31,35,36,34,37,28,40,38,39,41,42,43,44
1,2,13,11,3,8,21,6,23,7,19,39,17,30,14,16,4,10,25,15,22,5,27,38,24,12,29,9,20,18,34,28,36,32,33,26,31,37,35,40,41,42,43,44
1,2,4,3,5,7,20,26,39,8,23,6,25,15,9,16,10,19,14,33,21,30,12,22,11,24,29,17,13,18,27,28,34,31,38,32,36,37,35,40,41,42,43,44
1,2,4,3,6,5,10,15,11,8,13,16,22,18,24,21,19,25,29,23,20,36,7,34,39,17,27,28,9,32,30,14,12,26,31,33,38,35,37,40,41,42,43,44
1,5,3,6,4,2,18,36,15,22,10,24,12,16,19,9,30,25,34,26,27,21,11,32,7,8,17,14,13,23,39,29,20,28,31,33,38,35,37,40,41,42,43,44
1,2,3,6,4,7,18,9,19,12,10,21,23,14,13,16,29,27,20,28,22,31,24,17,8,25,5,11,38,26,34,15,32,33,35,39,37,30,36,40,41,42,43,44
1,2,3,5,6,4,8,7,19,13,29,17,12,10,15,16,18,11,14,9,21,23,27,26,30,22,20,24,25,28,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,7,21,20,10,22,23,24,11,12,16,17,14,13,15,8,29,31,30,25,27,18,19,9,28,32,33,26,38,34,35,36,37,39,40,41,42,43,44
1,2,3,4,5,6,7,8,15,10,11,12,13,14,19,16,9,38,21,29,20,18,30,17,23,22,31,24,26,28,39,27,25,32,34,33,40,35,36,37,41,42,43,44
1,3,2,17,7,4,25,16,18,30,28,5,21,26,32,19,15,23,9,14,12,29,10,27,11,13,33,8,20,22,24,6,31,34,38,35,36,37,39,40,41,42,43,44
1,2,3,16,18,7,30,21,20,22,13,24,9,19,15,10,11,8,12,6,23,14,25,4,26,27,29,17,39,34,31,28,33,5,32,38,36,37,35,40,41,42,43,44
