1,2,4,3,7,5,13,11,6,14,12,8,9,10,15
4,5,2,12,8,1,13,6,10,14,3,9,15,7,11
1,2,4,3,12,5,7,10,13,14,9,8,15,6,11
1,3,2,4,9,5,8,7,13,6,11,10,12,14,15
4,1,5,8,2,12,3,13,9,10,14,6,7,11,15
5,11,2,8,12,4,13,14,10,3,1,15,7,6,9
3,7,12,6,14,5,11,13,9,10,4,1,8,15,2
4,12,13,11,14,5,3,1,9,2,6,8,15,10,7
1,12,4,10,6,15,14,8,9,7,3,13,2,5,11
1,4,2,8,11,7,6,15,3,10,9,12,14,13,5
5,14,1,12,3,4,10,13,15,2,7,11,8,9,6
11,1,14,4,9,5,7,6,12,2,3,15,8,10,13
1,5,4,2,14,12,13,15,11,10,9,7,8,6,3
2,1,8,5,3,11,4,14,15,6,7,13,12,10,9
1,2,4,3,9,5,8,7,6,11,13,10,12,14,15
1,2,4,3,5,8,9,7,6,10,13,14,11,12,15
1,4,2,5,3,6,7,11,12,10,9,15,8,13,14
10,2,15,14,9,13,4,6,3,7,8,11,12,5,1
5,11,4,13,12,8,15,2,1,10,14,3,6,7,9
1,4,2,5,3,12,7,9,14,8,13,6,11,10,15
1,4,2,3,6,7,13,12,9,10,15,11,5,8,14
6,10,1,3,13,2,8,12,5,4,15,9,7,11,14
12,5,8,13,9,2,15,3,10,1,6,11,4,14,7
5,15,1,9,14,13,3,7,6,11,2,8,10,4,12
12,13,8,9,10,5,15,7,1,11,4,6,2,3,14
4,11,14,8,15,12,5,9,13,3,7,10,2,1,6
1,4,2,5,12,8,11,14,3,7,9,10,6,13,15
4,5,12,2,7,1,14,8,13,15,3,9,10,11,6
5,15,14,1,8,3,6,10,11,9,2,13,4,12,7
12,5,11,3,10,4,1,8,7,14,9,6,15,13,2
4,15,12,5,2,11,6,8,13,1,9,14,10,7,3
8,7,12,10,2,15,9,4,3,6,1,13,14,5,11
4,11,15,14,12,3,7,1,13,8,6,5,2,10,9
1,4,5,12,8,15,13,10,6,14,11,2,7,3,9
13,14,5,9,6,1,8,7,3,12,10,11,15,4,2
9,4,1,2,5,10,15,8,7,3,13,6,14,12,11
2,5,4,10,15,3,7,9,12,13,11,1,6,14,8
2,8,4,13,12,10,1,3,11,7,5,9,6,15,14
1,4,2,8,13,5,9,10,3,15,14,6,11,12,7
1,2,4,3,9,10,5,13,7,8,11,6,12,15,14
13,14,8,11,7,12,2,4,6,9,3,1,5,10,15
4,1,2,5,10,3,13,9,14,15,12,11,6,7,8
1,2,4,8,13,14,7,5,12,15,11,3,9,10,6
1,4,2,8,5,10,13,6,12,11,15,9,14,7,3
11,4,8,5,12,7,13,3,1,14,6,9,2,10,15
11,9,13,8,2,1,5,3,7,15,14,12,4,10,6
5,2,15,11,13,1,14,12,4,8,10,3,6,9,7
11,2,9,7,12,4,1,8,14,15,3,6,13,5,10
5,7,15,12,13,14,3,6,11,10,8,1,2,4,9
1,4,5,3,9,15,8,11,10,13,12,6,2,14,7
8,15,4,7,12,11,13,6,5,10,1,2,9,3,14
15,14,13,6,11,8,7,3,2,5,10,9,4,12,1
5,13,7,11,9,2,12,4,15,14,1,3,10,6,8
15,1,13,4,6,14,3,2,5,10,11,8,7,12,9
7,3,9,15,5,1,12,8,11,14,6,2,10,13,4
7,14,15,10,4,11,1,5,8,12,13,6,3,9,2
6,10,13,15,5,7,14,1,2,3,12,8,4,9,11
4,9,15,11,12,8,5,7,2,3,13,14,6,1,10
1,7,6,14,8,12,5,9,4,2,11,15,3,10,13
11,4,12,8,7,2,5,15,14,3,6,1,13,10,9
8,13,7,12,10,3,1,11,6,2,14,4,15,5,9
5,8,11,2,13,6,15,4,3,7,9,10,14,12,1
4,13,8,11,15,14,6,12,1,5,2,9,10,7,3
8,14,5,15,4,12,11,3,2,9,10,13,1,7,6
13,12,5,11,10,14,8,1,7,15,9,6,4,3,2
12,3,5,15,10,4,1,11,13,6,8,2,7,14,9
2,1,3,4,5,8,7,10,9,6,13,12,11,14,15
13,3,1,4,15,10,7,2,9,12,6,5,11,14,8
6,13,9,2,4,12,15,7,3,14,1,10,5,11,8
12,2,13,3,8,5,1,4,10,15,6,11,14,9,7
13,3,8,12,4,9,2,5,11,15,14,6,10,1,7
1,12,3,8,5,10,13,7,6,11,4,15,14,9,2
11,9,8,13,4,12,6,1,10,14,2,3,5,7,15
4,1,15,14,11,2,7,12,5,13,6,10,9,8,3
8,1,7,4,13,12,5,3,9,10,11,6,14,2,15
1,5,4,2,14,8,7,10,6,9,13,12,3,15,11
4,13,8,2,5,12,6,14,3,11,7,10,15,1,9
4,7,2,10,12,8,6,13,3,5,15,1,11,9,14
3,4,9,7,1,8,12,14,13,10,5,6,15,11,2
3,4,1,8,7,12,10,5,6,11,15,2,13,9,14
