William McKinley,,,,,,,,,,,,,,,,,,,,,Tennessee Titans,
Theodore Roosevelt,,,,,,,,,,,,,,,,,,,,,Washington Redskins,
William Howard Taft,,,,,,,,,,,,,,,,,,,,,Arizona Cardinals,
Woodrow Wilson,,,,,,,,,,,,,,,,,,,,,Cleveland Browns,
Warren Harding,,,,,,,,,,,,,,,,,,,,,Buffalo Bills,
Calvin Coolidge,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals,
Herbert Hoover,,,,,,,,,,,,,,,,,,,,,Denver Broncos,
Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,Carolina Panthers,
Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,
Dwight Eisenhower,,,,,,,,,,,,,,,,,,,,,,
John F. Kennedy,,,,,,,,,,,,,,,,,,,,,,
Lyndon B. Johnson,,,,,,,,,,,,,,,,,,,,,,
Richard Nixon,,,,,,,,,,,,,,,,,,,,,,
Gerald Ford,,,,,,,,,,,,,,,,,,,,,,
James Carter,,,,,,,,,,,,,,,,,,,,,,
Ronald Reagan,,,,,,,,,,,,,,,,,,,,,,
George H.W. Bush,,,,,,,,,,,,,,,,,,,,,,
William Clinton,,,,,,,,,,,,,,,,,,,,,,
George W. Bush,,,,,,,,,,,,,,,,,,,,,,
Barack Obama,,,,,,,,,,,,,,,,,,,,,,
