16,4,14,15,10,7,13,11,20,12,9,2,3,17,8,6,18,19,1,5
17,3,4,13,11,10,8,5,1,14,2,16,9,19,15,20,7,12,6,18
3,13,1,4,19,11,17,5,16,12,20,7,10,8,9,2,18,6,14,15
16,19,6,17,7,8,15,1,11,20,12,2,3,13,9,4,10,14,5,18
19,9,2,17,6,13,5,10,11,12,3,8,20,14,18,4,7,1,15,16
5,19,2,4,14,8,16,11,17,7,13,12,15,1,9,18,6,20,10,3
20,1,5,10,8,6,2,19,3,4,7,14,16,15,9,17,13,18,11,12
14,3,4,11,9,20,5,19,18,17,1,13,2,16,7,10,8,6,15,12
15,14,6,20,4,9,11,7,3,8,19,12,5,2,1,10,18,17,16,13
10,17,2,6,9,20,3,16,12,7,4,5,11,19,14,13,1,15,8,18
17,2,10,12,1,4,3,20,18,16,6,19,5,9,14,11,7,13,15,8
2,16,19,11,7,17,14,5,9,3,10,15,6,12,4,8,20,1,18,13
6,15,11,10,12,2,5,14,18,17,1,7,13,4,8,19,3,20,16,9
11,4,15,6,5,7,2,13,16,3,14,1,8,20,12,18,10,9,17,19
18,5,1,13,9,12,2,14,3,15,20,8,17,6,16,4,7,10,11,19
15,9,11,16,1,7,2,17,12,10,5,20,6,14,19,13,4,8,3,18
19,15,4,13,3,16,12,17,18,10,14,5,2,8,6,9,11,20,1,7
7,11,13,3,5,10,9,14,20,6,8,4,1,15,19,12,18,2,17,16
19,3,12,17,4,6,15,20,10,2,11,16,14,9,5,18,13,8,1,7
18,15,3,6,2,17,9,4,12,14,20,7,10,19,13,1,8,16,5,11
19,20,7,5,6,3,10,12,4,17,2,1,15,16,8,14,13,9,18,11
15,14,10,8,16,5,2,1,12,20,6,3,13,9,18,17,7,19,11,4
6,1,14,11,10,12,7,17,8,19,2,3,16,15,4,9,5,18,20,13
13,10,7,18,17,20,2,11,19,4,3,5,9,1,12,14,15,6,8,16
16,1,7,8,6,18,14,9,15,12,13,20,2,5,11,4,10,3,19,17
7,5,17,20,12,4,15,13,18,16,9,3,14,11,2,6,1,8,19,10
10,5,9,8,12,15,7,18,2,11,4,3,14,19,13,16,20,6,1,17
13,7,11,2,6,3,17,12,9,1,20,15,8,16,10,18,19,5,4,14
8,15,10,9,4,7,6,1,20,19,13,12,17,2,11,5,3,16,18,14
3,4,2,12,11,15,17,18,6,14,20,16,8,7,13,1,5,9,10,19
13,1,4,7,9,10,2,8,14,12,19,20,18,16,5,6,3,15,17,11
6,4,18,17,9,7,1,10,3,13,8,12,19,14,20,11,15,2,16,5
6,4,3,20,8,13,5,10,12,15,9,19,16,17,14,7,1,2,11,18
17,9,18,11,4,7,15,1,16,3,8,5,6,13,14,2,10,19,12,20
2,7,12,13,6,5,4,16,9,11,3,15,8,10,19,1,20,17,18,14
10,12,16,6,20,1,14,11,18,8,9,15,3,2,7,17,13,19,5,4
4,20,11,18,8,17,3,16,12,1,9,15,6,14,7,10,5,2,13,19
9,14,19,20,17,10,2,12,13,16,8,1,15,11,6,7,3,18,4,5
2,12,8,4,6,5,16,13,19,15,7,10,14,3,11,17,9,18,1,20
8,12,7,6,1,9,18,20,15,5,4,10,14,13,3,16,2,19,11,17
8,4,9,12,3,18,13,20,10,14,19,17,5,2,15,7,6,16,11,1
7,12,1,10,5,8,6,3,16,9,20,4,13,18,2,17,11,19,15,14
12,5,16,15,6,9,2,8,3,20,4,18,11,17,1,13,10,14,19,7
18,13,8,4,10,7,16,5,17,20,9,11,19,1,12,14,15,3,6,2
11,3,18,12,15,7,20,10,4,8,17,1,2,5,9,6,19,13,16,14
17,12,10,1,14,20,16,11,5,9,7,15,3,6,19,13,2,8,4,18
4,18,19,2,20,16,15,8,9,7,3,1,14,17,10,12,13,5,6,11
6,20,12,18,10,7,3,11,4,16,19,9,15,8,13,14,2,5,1,17
16,13,7,20,9,10,2,11,4,1,17,6,19,14,3,8,5,12,15,18
15,17,2,5,9,14,7,8,13,16,20,10,11,3,6,12,18,19,1,4
11,17,19,7,13,9,10,18,8,15,14,20,2,5,6,12,4,16,3,1
13,1,8,6,20,12,3,7,2,9,16,19,11,18,10,15,5,14,4,17
11,18,5,15,10,9,4,8,16,17,14,20,3,2,13,1,6,19,12,7
12,18,13,1,9,3,11,15,20,7,8,6,16,17,4,5,14,2,10,19
8,2,13,17,16,7,14,9,1,6,19,4,11,20,12,3,18,10,5,15
11,1,7,6,18,10,3,12,8,13,19,15,2,5,16,14,9,20,17,4
1,17,8,7,4,18,12,20,2,5,19,9,16,13,6,14,3,11,15,10
14,12,20,3,11,4,8,5,15,19,10,13,17,18,9,6,16,7,1,2
3,18,13,6,14,10,8,12,16,20,2,5,7,1,15,11,9,19,4,17
12,2,20,19,8,18,4,1,6,16,10,14,15,9,5,13,7,11,3,17
4,7,5,10,8,3,19,14,12,20,13,1,17,18,16,9,15,2,6,11
19,15,5,11,8,6,12,2,20,7,9,18,4,17,10,13,16,1,3,14
11,3,2,15,17,8,6,20,4,18,1,12,9,5,19,10,14,16,13,7
14,19,17,13,11,7,8,9,12,4,1,3,15,6,16,20,5,18,2,10
3,2,4,1,7,13,16,17,19,18,15,11,12,9,14,8,20,5,10,6
19,17,15,18,14,20,16,11,10,13,12,8,7,6,9,5,4,3,1,2
11,18,1,3,14,12,16,5,10,6,9,17,2,7,4,13,20,8,15,19
3,13,17,7,14,4,15,5,20,9,2,1,16,10,19,18,12,8,6,11
15,11,8,18,5,13,14,4,19,20,16,2,6,1,3,17,7,12,10,9
