study,subject,trial,gambleType,gain,loss,cert,tookGamble
study_1,101,135,gain_loss,16,-6.0,0,0
study_1,101,136,gain_loss,14,-28.0,0,0
study_1,101,137,gain_loss,15,-3.75,0,1
study_1,101,138,gain_loss,10,-15.0,0,0
study_1,101,139,gain_loss,6,-9.0,0,0
study_1,101,140,gain_loss,8,-7.0,0,0
study_1,101,141,gain_loss,2,-1.0,0,1
study_1,101,142,gain_loss,6,-2.25,0,1
study_1,101,143,gain_loss,15,-22.5,0,0
study_1,101,144,gain_loss,15,-24.375,0,0
study_1,101,145,gain_loss,9,-13.5,0,0
study_1,101,146,gain_loss,12,-9.0,0,1
study_1,101,147,gain_loss,16,-30.0,0,0
study_1,101,148,gain_loss,9,-9.0,0,0
study_1,101,149,gain_loss,8,-16.0,0,0
study_1,101,150,gain_loss,15,-7.5,0,1
study_1,101,151,gain_loss,8,-6.0,0,1
study_1,101,152,gain_loss,2,-1.75,0,1
study_1,101,153,gain_loss,4,-5.0,0,0
study_1,101,154,gain_loss,9,-3.375,0,1
study_1,101,155,gain_loss,9,-2.25,0,1
study_1,101,156,gain_loss,4,-3.0,0,1
study_1,101,157,gain_loss,4,-7.5,0,0
study_1,101,158,gain_loss,9,-6.75,0,0
study_1,101,159,gain_loss,14,-3.5,0,1
study_1,101,160,gain_loss,5,-8.125,0,0
study_1,101,161,gain_loss,5,-10.0,0,0
study_1,101,162,gain_loss,2,-3.5,0,0
study_1,101,163,gain_loss,14,-5.25,0,0
study_1,101,164,gain_loss,5,-4.375,0,0
study_1,101,165,gain_loss,6,-5.25,0,0
study_1,101,166,gain_loss,4,-6.0,0,0
study_1,101,167,gain_loss,6,-6.75,0,0
study_1,101,168,gain_loss,9,-5.625,0,1
study_1,101,169,gain_loss,4,-4.0,0,0
study_1,101,170,gain_loss,15,-18.75,0,0
study_1,101,171,gain_loss,2,-1.25,0,1
study_1,101,172,gain_loss,8,-8.0,0,0
study_1,101,173,gain_loss,12,-13.5,0,0
study_1,102,9,gain_loss,14,-7.0,0,1
study_1,102,10,gain_loss,5,-8.125,0,0
study_1,102,11,gain_loss,9,-6.75,0,1
study_1,102,12,gain_loss,16,-24.0,0,0
study_1,102,13,gain_loss,10,-8.75,0,1
study_1,102,14,gain_loss,12,-21.0,0,0
study_1,102,15,gain_loss,9,-14.625,0,0
study_1,102,16,gain_loss,5,-4.375,0,1
study_1,102,17,gain_loss,12,-19.5,0,0
study_1,102,18,gain_loss,16,-8.0,0,0
study_1,102,19,gain_loss,6,-10.5,0,0
study_1,102,20,gain_loss,5,-9.375,0,0
study_1,102,21,gain_loss,15,-15.0,0,0
study_1,102,22,gain_loss,12,-9.0,0,0
study_1,102,23,gain_loss,12,-13.5,0,0
study_1,102,24,gain_loss,10,-20.0,0,0
study_1,102,25,gain_loss,2,-4.0,0,0
study_1,102,26,gain_loss,15,-16.875,0,0
study_1,102,27,gain_loss,5,-10.0,0,0
study_1,102,28,gain_loss,2,-2.25,0,0
study_1,102,29,gain_loss,15,-18.75,0,0
study_1,102,30,gain_loss,15,-24.375,0,0
study_1,102,31,gain_loss,2,-3.75,0,0
study_1,102,32,gain_loss,2,-3.25,0,0
study_1,102,33,gain_loss,6,-12.0,0,0
study_1,102,34,gain_loss,2,-3.0,0,0
study_1,102,35,gain_loss,9,-16.875,0,0
study_1,102,36,gain_loss,12,-7.5,0,0
study_1,102,37,gain_loss,15,-13.125,0,0
study_1,102,38,gain_loss,5,-3.75,0,0
study_1,102,39,gain_loss,6,-5.25,0,0
study_1,102,40,gain_loss,4,-2.5,0,0
study_1,102,41,gain_loss,16,-20.0,0,0
study_1,102,42,gain_loss,8,-8.0,0,0
study_1,102,43,gain_loss,8,-3.0,0,0
study_1,102,44,gain_loss,6,-2.25,0,0
study_1,102,45,gain_loss,2,-2.5,0,0
study_1,102,46,gain_loss,4,-6.0,0,0
study_1,102,47,gain_loss,4,-3.0,0,0
study_1,102,48,gain_loss,6,-3.75,0,1
study_1,102,49,gain_loss,10,-3.75,0,1
study_1,102,50,gain_loss,6,-3.0,0,0
study_1,102,51,gain_loss,4,-2.0,0,0
study_1,102,52,gain_loss,6,-6.0,0,0
study_1,102,53,gain_loss,10,-18.75,0,0
study_1,102,54,gain_loss,4,-7.0,0,0
study_1,102,55,gain_loss,10,-10.0,0,0
study_1,102,56,gain_loss,6,-11.25,0,0
study_1,102,57,gain_loss,16,-4.0,0,0
study_1,102,58,gain_loss,6,-9.75,0,0
study_1,102,59,gain_loss,15,-7.5,0,0
study_1,102,60,gain_loss,6,-8.25,0,0
