participant,horizon,environment,environmentCode,game,trial,choice,reward
1,16,neutral,A1-B1,10,1,2,1
1,16,neutral,A1-B1,10,2,2,1
1,16,neutral,A1-B1,10,3,2,1
1,16,neutral,A1-B1,10,4,2,1
1,16,neutral,A1-B1,10,5,2,1
1,16,neutral,A1-B1,10,6,2,0
1,16,neutral,A1-B1,10,7,2,1
1,16,neutral,A1-B1,10,8,2,1
1,16,neutral,A1-B1,10,9,2,1
1,16,neutral,A1-B1,10,10,2,1
1,16,neutral,A1-B1,10,11,2,1
1,16,neutral,A1-B1,10,12,2,0
1,16,neutral,A1-B1,10,13,2,1
1,16,neutral,A1-B1,10,14,2,0
1,16,neutral,A1-B1,10,15,2,0
1,16,neutral,A1-B1,10,16,1,1
1,16,neutral,A1-B1,11,1,2,1
1,16,neutral,A1-B1,11,2,2,1
1,16,neutral,A1-B1,11,3,2,1
1,16,neutral,A1-B1,11,4,2,1
1,16,neutral,A1-B1,11,5,2,0
1,16,neutral,A1-B1,11,6,1,0
1,16,neutral,A1-B1,11,7,2,1
1,16,neutral,A1-B1,11,8,2,1
1,16,neutral,A1-B1,11,9,2,1
1,16,neutral,A1-B1,11,10,2,1
1,16,neutral,A1-B1,11,11,2,1
1,16,neutral,A1-B1,11,12,2,1
1,16,neutral,A1-B1,11,13,2,0
1,16,neutral,A1-B1,11,14,1,0
1,16,neutral,A1-B1,11,15,1,0
1,16,neutral,A1-B1,11,16,1,0
1,16,neutral,A1-B1,12,1,2,1
1,16,neutral,A1-B1,12,2,2,1
1,16,neutral,A1-B1,12,3,2,1
1,16,neutral,A1-B1,12,4,2,1
1,16,neutral,A1-B1,12,5,2,1
1,16,neutral,A1-B1,12,6,2,1
1,16,neutral,A1-B1,12,7,2,1
1,16,neutral,A1-B1,12,8,2,1
1,16,neutral,A1-B1,12,9,2,0
1,16,neutral,A1-B1,12,10,1,1
1,16,neutral,A1-B1,12,11,1,0
1,16,neutral,A1-B1,12,12,1,0
1,16,neutral,A1-B1,12,13,2,1
1,16,neutral,A1-B1,12,14,2,1
1,16,neutral,A1-B1,12,15,2,1
1,16,neutral,A1-B1,12,16,2,1
1,16,neutral,A1-B1,13,1,2,0
1,16,neutral,A1-B1,13,2,2,0
1,16,neutral,A1-B1,13,3,1,0
1,16,neutral,A1-B1,13,4,2,1
1,16,neutral,A1-B1,13,5,2,1
1,16,neutral,A1-B1,13,6,2,1
1,16,neutral,A1-B1,13,7,2,1
1,16,neutral,A1-B1,13,8,2,1
1,16,neutral,A1-B1,13,9,2,1
1,16,neutral,A1-B1,13,10,2,1
1,16,neutral,A1-B1,13,11,2,1
1,16,neutral,A1-B1,13,12,2,1
1,16,neutral,A1-B1,13,13,2,1
1,16,neutral,A1-B1,13,14,2,1
1,16,neutral,A1-B1,13,15,2,1
1,16,neutral,A1-B1,13,16,2,1
1,16,neutral,A1-B1,14,1,2,0
1,16,neutral,A1-B1,14,2,2,1
1,16,neutral,A1-B1,14,3,2,1
1,16,neutral,A1-B1,14,4,2,0
1,16,neutral,A1-B1,14,5,1,0
1,16,neutral,A1-B1,14,6,2,0
1,16,neutral,A1-B1,14,7,2,0
1,16,neutral,A1-B1,14,8,1,0
1,16,neutral,A1-B1,14,9,2,0
1,16,neutral,A1-B1,14,10,1,1
1,16,neutral,A1-B1,14,11,1,1
1,16,neutral,A1-B1,14,12,1,0
1,16,neutral,A1-B1,14,13,1,0
1,16,neutral,A1-B1,14,14,2,1
1,16,neutral,A1-B1,14,15,2,1
1,16,neutral,A1-B1,14,16,2,0
1,16,neutral,A1-B1,15,1,2,0
1,16,neutral,A1-B1,15,2,1,1
1,16,neutral,A1-B1,15,3,1,1
1,16,neutral,A1-B1,15,4,1,0
1,16,neutral,A1-B1,15,5,1,0
1,16,neutral,A1-B1,15,6,1,1
1,16,neutral,A1-B1,15,7,1,1
1,16,neutral,A1-B1,15,8,1,1
1,16,neutral,A1-B1,15,9,1,1
1,16,neutral,A1-B1,15,10,1,1
1,16,neutral,A1-B1,15,11,1,1
1,16,neutral,A1-B1,15,12,1,0
1,16,neutral,A1-B1,15,13,2,0
1,16,neutral,A1-B1,15,14,1,1
1,16,neutral,A1-B1,15,15,1,1
1,16,neutral,A1-B1,15,16,1,1
1,16,neutral,A1-B1,16,1,2,0
1,16,neutral,A1-B1,16,2,1,1
1,16,neutral,A1-B1,16,3,1,0
1,16,neutral,A1-B1,16,4,2,0
1,16,neutral,A1-B1,16,5,2,0
1,16,neutral,A1-B1,16,6,1,1
1,16,neutral,A1-B1,16,7,1,0
1,16,neutral,A1-B1,16,8,2,0
1,16,neutral,A1-B1,16,9,1,0
1,16,neutral,A1-B1,16,10,2,0
1,16,neutral,A1-B1,16,11,1,0
1,16,neutral,A1-B1,16,12,2,0
1,16,neutral,A1-B1,16,13,1,0
1,16,neutral,A1-B1,16,14,2,1
1,16,neutral,A1-B1,16,15,2,0
1,16,neutral,A1-B1,16,16,2,0
1,16,neutral,A1-B1,17,1,2,1
1,16,neutral,A1-B1,17,2,2,1
1,16,neutral,A1-B1,17,3,2,0
1,16,neutral,A1-B1,17,4,2,1
1,16,neutral,A1-B1,17,5,2,0
1,16,neutral,A1-B1,17,6,1,1
1,16,neutral,A1-B1,17,7,1,0
1,16,neutral,A1-B1,17,8,2,1
1,16,neutral,A1-B1,17,9,2,0
1,16,neutral,A1-B1,17,10,1,0
1,16,neutral,A1-B1,17,11,2,1
1,16,neutral,A1-B1,17,12,2,1
1,16,neutral,A1-B1,17,13,2,1
1,16,neutral,A1-B1,17,14,2,1
1,16,neutral,A1-B1,17,15,2,1
1,16,neutral,A1-B1,17,16,2,1
1,16,neutral,A1-B1,18,1,2,1
1,16,neutral,A1-B1,18,2,2,0
1,16,neutral,A1-B1,18,3,1,1
1,16,neutral,A1-B1,18,4,1,1
1,16,neutral,A1-B1,18,5,1,1
1,16,neutral,A1-B1,18,6,1,1
1,16,neutral,A1-B1,18,7,1,1
1,16,neutral,A1-B1,18,8,1,1
1,16,neutral,A1-B1,18,9,1,0
1,16,neutral,A1-B1,18,10,2,0
1,16,neutral,A1-B1,18,11,1,1
1,16,neutral,A1-B1,18,12,1,1
1,16,neutral,A1-B1,18,13,1,1
1,16,neutral,A1-B1,18,14,1,1
1,16,neutral,A1-B1,18,15,1,1
1,16,neutral,A1-B1,18,16,1,1
1,16,neutral,A1-B1,19,1,2,1
1,16,neutral,A1-B1,19,2,2,1
1,16,neutral,A1-B1,19,3,2,1
1,16,neutral,A1-B1,19,4,2,1
1,16,neutral,A1-B1,19,5,2,0
1,16,neutral,A1-B1,19,6,2,1
1,16,neutral,A1-B1,19,7,1,0
1,16,neutral,A1-B1,19,8,2,1
1,16,neutral,A1-B1,19,9,2,1
1,16,neutral,A1-B1,19,10,2,1
1,16,neutral,A1-B1,19,11,2,1
1,16,neutral,A1-B1,19,12,2,1
1,16,neutral,A1-B1,19,13,2,0
1,16,neutral,A1-B1,19,14,1,0
1,16,neutral,A1-B1,19,15,2,1
1,16,neutral,A1-B1,19,16,2,1
1,16,neutral,A1-B1,20,1,2,0
1,16,neutral,A1-B1,20,2,2,0
1,16,neutral,A1-B1,20,3,2,1
1,16,neutral,A1-B1,20,4,1,1
1,16,neutral,A1-B1,20,5,1,0
1,16,neutral,A1-B1,20,6,2,1
1,16,neutral,A1-B1,20,7,2,1
1,16,neutral,A1-B1,20,8,2,1
1,16,neutral,A1-B1,20,9,2,1
1,16,neutral,A1-B1,20,10,2,1
1,16,neutral,A1-B1,20,11,2,0
1,16,neutral,A1-B1,20,12,1,1
1,16,neutral,A1-B1,20,13,1,1
1,16,neutral,A1-B1,20,14,1,1
1,16,neutral,A1-B1,20,15,1,1
1,16,neutral,A1-B1,20,16,1,1
1,16,neutral,A1-B1,21,1,2,0
1,16,neutral,A1-B1,21,2,1,1
1,16,neutral,A1-B1,21,3,1,1
1,16,neutral,A1-B1,21,4,1,1
1,16,neutral,A1-B1,21,5,1,1
1,16,neutral,A1-B1,21,6,1,1
1,16,neutral,A1-B1,21,7,1,0
1,16,neutral,A1-B1,21,8,2,0
1,16,neutral,A1-B1,21,9,1,0
1,16,neutral,A1-B1,21,10,2,0
1,16,neutral,A1-B1,21,11,2,0
1,16,neutral,A1-B1,21,12,2,0
1,16,neutral,A1-B1,21,13,1,1
1,16,neutral,A1-B1,21,14,1,1
1,16,neutral,A1-B1,21,15,1,1
1,16,neutral,A1-B1,21,16,1,1
1,16,neutral,A1-B1,22,1,1,0
1,16,neutral,A1-B1,22,2,2,1
1,16,neutral,A1-B1,22,3,2,1
1,16,neutral,A1-B1,22,4,2,1
1,16,neutral,A1-B1,22,5,2,0
1,16,neutral,A1-B1,22,6,1,0
