participant,nBlocks,pennMatrices,listSort,cardSort
673,8,15.0,112.89,106.1
674,8,20.0,104.06,119.81
675,8,18.0,108.06,107.32
676,8,23.0,117.39,101.18
677,8,17.0,112.89,104.34
678,8,16.0,100.43,107.79
679,8,21.0,121.89,120.64
680,8,11.0,100.43,108.11
681,8,13.0,130.38,121.3
682,8,9.0,144.5,117.72
683,8,16.0,93.9,108.63
684,8,22.0,121.89,116.16
685,8,24.0,117.39,101.79
686,8,8.0,121.89,130.31
687,8,11.0,117.39,81.27
688,8,17.0,100.43,109.24
689,8,17.0,117.39,129.46
690,8,19.0,117.39,116.7
691,8,21.0,117.39,115.03
692,8,8.0,112.89,
693,8,23.0,112.89,143.94
694,8,19.0,96.99,119.05
695,8,21.0,108.06,115.22
696,8,13.0,93.9,110.09
697,8,10.0,100.43,120.82
698,8,21.0,130.38,113.18
699,8,22.0,104.06,121.88
700,8,17.0,112.89,105.85
701,8,19.0,130.38,136.1
702,8,15.0,108.06,98.1
703,8,13.0,117.39,115.43
704,8,19.0,100.43,125.25
705,8,21.0,117.39,98.58
706,8,20.0,130.38,121.78
707,8,10.0,100.43,117.1
708,8,18.0,108.06,112.02
709,8,24.0,100.43,111.96
710,8,15.0,117.39,123.59
711,8,18.0,108.06,129.94
712,8,17.0,80.79,121.25
713,8,21.0,112.89,108.39
714,8,13.0,100.43,124.42
715,8,15.0,108.06,102.83
716,8,11.0,96.99,116.55
717,8,12.0,112.89,125.09
718,8,7.0,100.43,128.87
719,8,21.0,117.39,128.43
720,8,20.0,112.89,114.85
721,8,16.0,108.06,115.96
722,8,11.0,108.06,105.58
723,8,7.0,104.06,119.76
724,8,19.0,108.06,103.28
725,8,10.0,96.99,116.47
726,8,9.0,112.89,102.39
727,8,21.0,112.89,111.22
728,8,23.0,108.06,99.31
729,8,12.0,96.99,106.95
730,8,18.0,117.39,123.13
731,8,22.0,104.06,120.54
732,8,22.0,117.39,119.67
733,8,7.0,117.39,106.48
734,8,15.0,108.06,106.99
735,8,21.0,104.06,107.29
736,8,18.0,100.43,127.22
737,8,15.0,112.89,106.43
738,8,15.0,108.06,122.18
739,8,18.0,126.18,116.16
740,8,21.0,108.06,111.94
741,8,19.0,96.99,114.78
742,8,15.0,108.06,120.56
743,8,20.0,96.99,123.76
744,8,20.0,117.39,143.94
745,8,22.0,100.43,125.34
746,8,19.0,117.39,111.38
747,8,18.0,112.89,126.99
748,8,10.0,93.9,120.61
749,8,19.0,117.39,111.83
750,8,9.0,112.89,106.13
751,8,22.0,117.39,122.83
752,8,21.0,117.39,116.64
753,8,20.0,100.43,115.84
754,8,17.0,100.43,104.57
755,8,20.0,108.06,92.72
756,8,22.0,112.89,109.42
