decision,majority,crowd,accuracy
349,128,128,1
350,128,128,1
351,101,128,1
352,99,112,0
353,106,112,1
354,107,111,0
355,108,112,1
356,108,111,0
357,105,112,1
358,107,112,1
359,107,112,0
360,105,111,1
361,105,112,1
362,100,112,1
363,105,112,0
364,105,112,0
365,108,111,0
366,106,111,1
367,98,112,1
368,108,110,1
369,108,112,1
370,108,112,1
371,107,109,1
372,108,109,1
373,108,111,0
374,103,112,1
375,111,112,1
376,111,112,1
377,110,112,1
378,100,112,1
379,110,112,1
380,107,112,1
381,105,112,1
382,92,112,1
383,93,112,1
384,91,112,1
385,108,112,1
386,111,112,1
387,108,112,1
388,90,112,0
389,111,112,1
390,111,112,1
391,111,112,1
392,110,112,1
393,111,112,1
394,109,112,1
395,102,108,0
396,101,108,0
397,101,110,0
398,93,112,1
399,87,111,0
400,86,112,0
401,74,112,0
402,97,109,1
403,101,112,1
404,101,112,1
405,83,112,0
406,103,107,0
407,67,112,0
408,105,112,1
409,104,110,1
410,105,108,0
411,103,110,0
412,97,110,0
413,104,107,0
414,86,111,0
415,86,107,0
416,91,107,1
417,110,112,0
418,107,111,0
419,107,111,1
420,106,111,0
421,106,110,0
422,111,112,0
423,110,112,1
424,106,112,1
425,64,96,0
426,108,111,0
427,110,112,0
428,77,98,1
429,81,95,1
430,66,106,0
431,72,107,0
432,83,93,1
433,102,111,1
434,75,110,1
435,110,112,0
436,92,110,1
437,93,112,1
438,102,112,1
439,106,109,1
440,110,112,1
441,111,112,1
442,97,112,1
443,82,103,0
444,99,112,1
445,110,112,0
446,93,108,1
447,92,101,1
448,84,111,1
449,75,108,1
450,93,102,1
451,86,112,1
452,102,112,0
453,93,111,0
454,97,111,0
455,101,112,0
456,106,112,0
457,107,112,0
458,109,112,0
459,92,112,0
460,84,108,1
461,97,112,0
462,111,112,0
463,93,109,1
464,101,106,1
465,80,109,1
466,77,109,1
467,96,104,1
468,98,110,1
469,102,112,0
470,102,112,0
471,94,112,0
472,65,112,0
473,88,112,1
474,89,112,1
475,98,112,0
476,107,112,0
477,96,112,0
478,109,112,1
479,111,112,1
480,112,112,1
481,108,112,1
482,106,112,1
483,111,112,1
484,95,112,0
485,73,112,1
486,89,112,1
487,96,112,1
488,106,112,1
489,107,112,1
490,67,112,1
491,101,109,0
492,90,112,1
493,108,112,0
494,107,112,1
495,108,110,1
496,98,112,1
497,98,109,1
498,107,111,1
499,75,112,1
500,92,113,0
501,100,112,0
502,105,112,0
503,109,112,0
504,64,112,1
505,100,111,1
506,87,112,0
507,110,112,0
508,106,111,1
509,109,110,1
510,99,112,1
511,94,111,1
512,109,110,1
513,64,111,0
514,89,112,1
515,101,112,1
516,103,112,1
517,83,112,0
518,105,112,0
519,80,111,1
520,108,112,0
521,109,111,1
522,108,112,1
523,100,112,1
524,97,111,1
525,109,111,1
526,79,112,0
527,79,113,0
528,80,112,1
529,95,112,0
530,105,109,0
531,92,112,0
532,99,112,0
