participant,trial,decision,leftStimulus,rightStimulus,rt,accuracy
1,1,-1,16,10,95.608,-1
1,2,-1,16,3,0.831,-1
1,3,-1,10,8,2.524,-1
1,4,1,4,5,1.3219999999999992,1
1,5,1,1,10,0.8109999999999999,1
1,6,-1,6,3,2.213999999999998,1
1,7,-1,11,4,1.9029999999999987,-1
1,8,1,9,10,1.8129999999999988,1
1,9,-1,10,3,1.2120000000000033,-1
1,10,-1,13,11,2.6740000000000066,-1
1,11,1,2,14,1.5519999999999996,1
1,12,-1,15,14,0.931999999999995,-1
1,13,1,3,8,0.830999999999996,1
1,14,-1,11,6,1.0019999999999951,-1
1,15,-1,16,13,1.661999999999999,-1
1,16,-1,11,1,0.7710000000000008,-1
1,17,-1,15,11,1.6229999999999976,-1
1,18,1,9,12,0.9709999999999996,1
1,19,1,2,11,0.8710000000000004,1
1,20,1,3,13,0.6710000000000003,1
1,21,-1,13,8,1.0410000000000004,-1
1,22,1,7,12,1.532,1
1,23,-1,5,7,1.4019999999999992,-1
1,24,-1,15,6,1.1020000000000003,-1
1,25,1,2,15,0.7210000000000001,1
1,26,1,9,8,1.9830000000000003,1
1,27,-1,16,4,0.8820000000000014,-1
1,28,-1,9,3,2.343,-1
1,29,-1,7,1,0.8509999999999991,-1
1,30,1,2,16,0.6310000000000002,1
1,31,1,4,6,2.3939999999999984,-1
1,32,1,5,11,2.222999999999999,1
1,33,1,13,15,2.0529999999999973,1
1,34,1,5,12,2.6340000000000003,1
1,35,1,2,7,0.9720000000000012,1
1,36,-1,1,16,1.881999999999998,1
1,37,1,8,7,1.7820000000000036,-1
1,38,-1,9,2,1.392000000000003,-1
1,39,-1,4,3,1.1119999999999948,1
1,40,-1,15,8,1.202,-1
1,41,1,12,10,1.021,-1
1,42,-1,11,10,2.594000000000001,1
1,43,1,3,1,1.753,1
1,44,1,7,10,1.261999999999999,1
1,45,-1,12,13,1.8219999999999992,-1
1,46,-1,5,9,1.9130000000000005,1
1,47,1,1,9,1.110999999999997,1
1,48,-1,5,3,1.2019999999999982,-1
1,49,-1,7,6,1.6329999999999991,-1
1,50,1,6,8,1.4619999999999962,1
1,51,-1,15,4,2.022999999999996,-1
1,52,1,12,16,0.8310000000000031,-1
1,53,-1,13,4,1.7920000000000016,-1
1,54,1,1,8,1.391999999999996,1
1,55,-1,13,6,0.7610000000000028,-1
1,56,1,13,5,0.7509999999999977,-1
1,57,-1,12,4,1.641999999999996,-1
1,58,1,9,11,2.6229999999999976,1
1,59,1,3,14,1.052,1
1,60,-1,7,4,1.4420000000000002,-1
1,61,-1,15,9,1.4620000000000006,-1
1,62,1,2,8,0.7809999999999988,1
1,63,-1,15,3,1.020999999999999,-1
1,64,-1,16,14,4.075000000000001,1
1,65,1,4,9,1.100999999999999,1
