participant,trial,decision,leftStimulus,rightStimulus,rt,accuracy
5,8,1,1,10,8.322000000000003,1
5,9,-1,8,1,2.5330000000000013,-1
5,10,-1,8,10,5.838000000000001,1
5,11,1,7,4,3.895000000000003,-1
5,12,-1,4,5,2.032,1
5,13,-1,16,15,7.23,1
5,14,1,4,10,0.7410000000000014,1
5,15,-1,15,12,0.4310000000000009,-1
5,16,-1,14,15,3.274000000000001,1
5,17,1,11,13,0.6310000000000002,1
5,18,1,5,9,3.515000000000001,1
5,19,1,6,16,3.715,1
5,20,-1,12,14,1.381999999999998,-1
5,21,1,8,12,1.0210000000000008,1
5,22,1,2,1,1.743000000000002,1
5,23,1,11,15,2.5929999999999964,1
5,24,1,15,7,1.7730000000000032,-1
5,25,-1,13,2,0.570999999999998,-1
5,26,1,11,10,0.7909999999999968,1
5,27,1,13,6,3.055,-1
5,28,1,13,8,0.6109999999999971,-1
5,29,-1,16,13,1.4720000000000013,-1
5,30,-1,11,12,3.395000000000003,1
5,31,1,6,9,0.7710000000000008,1
5,32,-1,16,4,4.156,-1
5,33,1,13,14,0.3310000000000004,1
5,34,1,13,5,3.915000000000001,-1
5,35,1,3,9,1.9930000000000003,1
5,36,-1,5,8,1.181000000000001,1
5,37,1,6,12,0.4409999999999989,1
5,38,-1,15,10,0.3399999999999998,-1
5,39,1,1,11,1.7119999999999995,1
5,40,1,16,3,1.9019999999999972,-1
5,41,-1,5,10,0.6509999999999998,1
5,42,-1,16,12,2.8939999999999984,1
5,43,1,13,15,0.690999999999999,1
5,44,1,7,14,0.9519999999999982,1
5,45,-1,7,8,2.8939999999999984,1
5,46,1,6,2,0.5110000000000028,-1
5,47,1,10,9,9.143,-1
5,48,-1,6,8,4.195999999999998,1
5,49,1,8,16,0.4909999999999996,1
5,50,1,5,16,0.830999999999996,1
5,51,1,9,11,0.6310000000000002,1
5,52,1,5,14,3.686,1
5,53,-1,3,10,0.931,1
5,54,1,2,4,0.5409999999999995,1
5,55,1,13,7,0.6509999999999998,-1
5,56,1,13,3,0.931,-1
5,57,1,3,11,0.6709999999999994,1
5,58,-1,7,6,1.2509999999999994,-1
5,59,1,5,7,0.3499999999999996,-1
5,60,-1,9,8,3.875,1
5,61,1,5,1,3.395,-1
5,62,-1,2,11,0.8509999999999991,1
