participant,trial,decision,leftStimulus,rightStimulus,rt,confidence
1,1,-1,20,18,3.345000000000006,4
1,2,1,23,24,2.783999999999999,3
1,3,1,25,24,4.246,4
1,4,1,28,29,2.764,4
1,5,-1,18,17,3.4450000000000003,3
2,1,-1,20,18,4.366,3
2,2,-1,24,23,10.115000000000002,3
2,3,1,17,18,14.772000000000002,4
2,4,-1,25,24,4.186,5
2,5,1,28,29,9.083000000000002,3
3,1,1,25,24,8.061999999999998,4
3,2,1,20,18,1.5730000000000004,3
3,3,1,28,29,8.152000000000001,3
3,4,1,17,18,1.3320000000000007,4
3,5,-1,24,23,2.724,4
4,1,-1,18,17,8.162000000000003,1
4,2,1,20,18,4.647000000000002,3
4,3,-1,23,24,0.9909999999999995,1
4,4,1,28,29,0.4609999999999985,1
4,5,1,25,24,1.503,1
5,1,-1,29,28,27.059000000000005,3
5,2,1,24,23,11.826999999999998,2
5,3,1,17,18,11.877000000000002,2
5,4,-1,25,24,3.295,3
5,5,-1,20,18,4.355999999999998,3
6,1,1,17,18,4.036000000000001,3
6,2,1,25,24,4.285999999999994,3
6,3,-1,29,28,4.777000000000001,3
6,4,1,23,24,2.9250000000000043,4
6,5,1,20,18,4.246,3
7,1,-1,28,29,4.305999999999997,3
7,2,-1,25,24,2.744,3
7,3,-1,17,18,0.1610000000000013,3
7,4,1,18,20,6.249000000000002,2
7,5,1,23,24,2.774000000000001,2
8,1,-1,25,24,5.908999999999999,4
8,2,1,18,17,8.783000000000001,3
8,3,-1,20,18,1.6020000000000003,4
8,4,1,29,28,9.483,3
8,5,-1,23,24,1.4220000000000006,3
9,1,-1,24,23,1.0309999999999988,1
9,2,-1,18,20,4.016,2
9,3,-1,24,25,4.165999999999999,4
9,4,1,28,29,1.4130000000000005,4
9,5,-1,18,17,1.2420000000000009,5
10,1,-1,24,25,23.524,3
10,2,-1,29,28,10.204,4
10,3,1,23,24,6.059000000000001,3
10,4,-1,18,17,7.721000000000004,3
10,5,-1,18,20,1.973000000000006,3
11,1,1,25,24,0.7509999999999977,5
11,2,-1,18,17,4.025,5
11,3,-1,24,23,3.504999999999999,4
11,4,1,20,18,1.0919999999999987,5
11,5,1,28,29,3.996000000000002,4
12,1,1,23,24,5.056999999999999,3
12,2,1,25,24,12.388000000000003,2
12,3,-1,18,20,5.106999999999999,3
12,4,-1,29,28,15.903,3
12,5,-1,18,17,4.556999999999999,3
13,1,-1,23,24,26.698000000000008,2
13,2,-1,18,17,23.514,2
13,3,1,18,20,12.388,1
13,4,1,29,28,8.291999999999998,2
