participant,condition,conditionIndex,problem,burstPoint,burst,nPumps,problemOrder
2,p_burst_0.1,0,21,1,1,1,49
2,p_burst_0.1,0,22,7,1,7,24
2,p_burst_0.1,0,23,4,1,4,45
2,p_burst_0.1,0,24,8,1,8,11
2,p_burst_0.1,0,25,17,0,14,16
2,p_burst_0.1,0,26,2,1,2,1
2,p_burst_0.1,0,27,4,1,4,46
2,p_burst_0.1,0,28,17,0,13,26
2,p_burst_0.1,0,29,5,1,5,32
2,p_burst_0.1,0,30,14,0,9,34
2,p_burst_0.1,0,31,2,1,2,7
2,p_burst_0.1,0,32,1,1,1,14
2,p_burst_0.1,0,33,15,0,13,28
2,p_burst_0.1,0,34,8,1,8,30
2,p_burst_0.1,0,35,13,0,7,42
2,p_burst_0.1,0,36,29,0,14,17
2,p_burst_0.1,0,37,16,1,16,33
2,p_burst_0.1,0,38,6,1,6,29
2,p_burst_0.1,0,39,2,1,2,25
2,p_burst_0.1,0,40,3,1,3,19
2,p_burst_0.1,0,41,21,0,7,36
2,p_burst_0.1,0,42,31,0,9,21
2,p_burst_0.1,0,43,4,1,4,10
2,p_burst_0.1,0,44,24,0,11,12
2,p_burst_0.1,0,45,21,0,7,48
2,p_burst_0.1,0,46,5,1,5,22
2,p_burst_0.1,0,47,1,1,1,31
2,p_burst_0.1,0,48,7,1,7,6
2,p_burst_0.1,0,49,4,1,4,40
2,p_burst_0.1,0,50,17,0,9,37
2,p_burst_0.2,1,1,1,1,1,41
2,p_burst_0.2,1,2,1,1,1,5
2,p_burst_0.2,1,3,8,0,7,43
2,p_burst_0.2,1,4,4,1,4,35
2,p_burst_0.2,1,5,4,1,4,39
2,p_burst_0.2,1,6,3,1,3,44
2,p_burst_0.2,1,7,5,0,4,8
2,p_burst_0.2,1,8,10,1,10,38
2,p_burst_0.2,1,9,5,0,4,15
2,p_burst_0.2,1,10,2,1,2,9
2,p_burst_0.2,1,11,1,1,1,2
2,p_burst_0.2,1,12,8,0,5,20
2,p_burst_0.2,1,13,1,1,1,47
2,p_burst_0.2,1,14,4,1,4,4
2,p_burst_0.2,1,15,3,1,3,18
2,p_burst_0.2,1,16,1,1,1,3
2,p_burst_0.2,1,17,4,1,4,50
2,p_burst_0.2,1,18,6,0,3,23
2,p_burst_0.2,1,19,24,0,4,27
2,p_burst_0.2,1,20,11,0,1,13
2,p_burst_0.2,1,21,29,0,5,49
2,p_burst_0.2,1,22,2,1,2,24
2,p_burst_0.2,1,23,2,1,2,45
2,p_burst_0.2,1,24,21,0,6,11
2,p_burst_0.2,1,25,4,0,3,16
2,p_burst_0.2,1,26,2,1,2,1
2,p_burst_0.2,1,27,12,0,7,46
2,p_burst_0.2,1,28,19,0,4,26
2,p_burst_0.2,1,29,5,0,3,32
2,p_burst_0.2,1,30,14,0,8,34
2,p_burst_0.2,1,31,3,1,3,7
2,p_burst_0.2,1,32,4,1,4,14
2,p_burst_0.2,1,33,2,1,2,28
2,p_burst_0.2,1,34,3,1,3,30
2,p_burst_0.2,1,35,1,1,1,42
2,p_burst_0.2,1,36,7,0,4,17
2,p_burst_0.2,1,37,4,1,4,33
2,p_burst_0.2,1,38,4,1,4,29
2,p_burst_0.2,1,39,4,1,4,25
2,p_burst_0.2,1,40,5,0,4,19
2,p_burst_0.2,1,41,5,1,5,36
2,p_burst_0.2,1,42,7,1,7,21
2,p_burst_0.2,1,43,1,1,1,10
2,p_burst_0.2,1,44,1,1,1,12
2,p_burst_0.2,1,45,4,1,4,48
2,p_burst_0.2,1,46,17,0,8,22
2,p_burst_0.2,1,47,1,1,1,31
2,p_burst_0.2,1,48,4,1,4,6
2,p_burst_0.2,1,49,13,0,7,40
2,p_burst_0.2,1,50,1,1,1,37
3,p_burst_0.1,0,1,1,1,1,46
3,p_burst_0.1,0,2,13,0,7,26
3,p_burst_0.1,0,3,7,1,7,48
3,p_burst_0.1,0,4,5,1,5,14
3,p_burst_0.1,0,5,18,0,5,41
3,p_burst_0.1,0,6,8,0,6,33
3,p_burst_0.1,0,7,5,1,5,22
3,p_burst_0.1,0,8,3,1,3,24
3,p_burst_0.1,0,9,1,1,1,20
3,p_burst_0.1,0,10,4,1,4,37
3,p_burst_0.1,0,11,30,0,7,2
3,p_burst_0.1,0,12,40,0,8,3
3,p_burst_0.1,0,13,2,1,2,29
3,p_burst_0.1,0,14,2,1,2,27
3,p_burst_0.1,0,15,27,0,7,36
3,p_burst_0.1,0,16,12,0,9,5
3,p_burst_0.1,0,17,19,0,10,38
3,p_burst_0.1,0,18,5,1,5,23
3,p_burst_0.1,0,19,23,0,7,4
3,p_burst_0.1,0,20,3,1,3,9
3,p_burst_0.1,0,21,1,1,1,25
3,p_burst_0.1,0,22,7,1,7,10
3,p_burst_0.1,0,23,4,1,4,6
3,p_burst_0.1,0,24,8,0,5,35
3,p_burst_0.1,0,25,17,0,5,32
3,p_burst_0.1,0,26,2,1,2,1
3,p_burst_0.1,0,27,4,1,4,11
3,p_burst_0.1,0,28,17,0,6,42
3,p_burst_0.1,0,29,5,1,5,13
3,p_burst_0.1,0,30,14,0,8,45
3,p_burst_0.1,0,31,2,1,2,7
3,p_burst_0.1,0,32,1,1,1,15
3,p_burst_0.1,0,33,15,0,7,47
3,p_burst_0.1,0,34,8,1,8,34
3,p_burst_0.1,0,35,13,0,5,19
3,p_burst_0.1,0,36,29,0,5,21
3,p_burst_0.1,0,37,16,0,5,28
3,p_burst_0.1,0,38,6,0,5,44
3,p_burst_0.1,0,39,2,1,2,43
3,p_burst_0.1,0,40,3,1,3,30
3,p_burst_0.1,0,41,21,0,4,50
3,p_burst_0.1,0,42,31,0,6,49
3,p_burst_0.1,0,43,4,1,4,8
