participant,trial,reportIndex,report
1,59,5,Decision: No justification
1,60,1,Encoding
1,60,2,Encoding
1,60,3,Elaboration: Indicator based
1,61,1,Search
1,61,2,Encoding
1,61,3,Encoding
1,61,4,Elaboration: Indicator based
1,61,5,Decision: No justification
1,62,1,Encoding
1,62,2,Encoding
1,62,3,Elaboration: Indicator based
1,63,1,Elaboration: Indicator based
1,63,2,Elaboration: Indicator based
1,63,3,Elaboration: Indicator based
1,63,4,Decision: No justification
1,64,1,Elaboration: Indicator based
1,64,2,Elaboration: Indicator based
1,64,3,Decision: No justification
1,65,1,Search
1,65,2,Encoding
1,65,3,Elaboration: Indicator based
1,65,4,Elaboration: Indicator based
1,65,5,Decision: Single Indicator
1,66,1,Encoding
1,66,2,Encoding
1,66,3,Elaboration: Indicator based
1,66,4,Elaboration: Indicator based
1,66,5,Elaboration: Indicator based
1,66,6,Decision: No justification
1,67,1,Encoding
1,67,2,Elaboration: Indicator based
1,68,1,Search
1,68,2,Elaboration: Indicator based
1,68,3,Elaboration: Indicator based
1,68,4,Decision: No justification
1,69,1,Encoding
1,69,2,Encoding
1,69,3,Decision: No justification
1,70,1,Encoding
1,70,2,Encoding
1,70,3,Decision: No justification
1,71,1,Encoding
1,71,2,Encoding
1,71,3,Decision: No justification
1,72,1,Encoding
1,72,2,Encoding
1,72,3,Decision: No justification
1,73,1,Encoding
1,73,2,Encoding
1,73,3,Elaboration: Indicator based
1,73,4,Elaboration: Indicator based
1,73,5,Decision: No justification
1,74,1,Encoding
1,74,2,Elaboration: Indicator based
1,74,3,Elaboration: Indicator based
1,74,4,Decision: No justification
1,75,1,Encoding
1,75,2,Elaboration: Indicator based
1,75,3,Decision: No justification
1,76,1,Encoding
1,76,2,Encoding
1,76,3,Decision: No justification
1,77,1,Elaboration: Indicator based
1,77,2,Decision: No justification
1,78,1,Encoding
1,78,2,Elaboration: Indicator based
1,79,1,Search
1,79,2,Encoding
1,79,3,Encoding
1,79,4,Elaboration: Indicator based
1,79,5,Decision: No justification
1,80,1,Search
1,80,2,Encoding
1,80,3,Encoding
1,80,4,Elaboration: Indicator based
1,80,5,Elaboration: Indicator based
